"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
uvaursi,uhaloa,akia,Wikstroemia,,,,,,,,,,
corn,escobilla,Wikstroemia,uvaursi,,,,,,,,,,
Zea,sabana,uvaursi,corn,,,,,,,,,,
mays,waltheria,corn,Zea,,,,,,,,,,
zoysia,Waltheria,Zea,mays,,,,,,,,,,
Zoysia,indica,mays,zoysia,,,,,,,,,,
japonica,akia,zoysia,Zoysia,,,,,,,,,,
a,Wikstroemia,Zoysia,japonica,,,,,,,,,,
ali,uvaursi,japonica,a,,,,,,,,,,
i,corn,a,ali,,,,,,,,,,
lampuye,Zea,ali,i,,,,,,,,,,
Dodonaea,mays,i,lampuye,,,,,,,,,,
viscosa,zoysia,lampuye,Dodonaea,,,,,,,,,,
ahgao,Zoysia,Dodonaea,viscosa,,,,,,,,,,
aloalo,japonica,viscosa,ahgao,,,,,,,,,,
topwuk,a,ahgao,aloalo,,,,,,,,,,
fienkack,ali,aloalo,topwuk,,,,,,,,,,
arr,i,topwuk,fienkack,,,,,,,,,,
nior,lampuye,fienkack,arr,,,,,,,,,,
lior,Dodonaea,arr,nior,,,,,,,,,,
FALSE,viscosa,nior,lior,,,,,,,,,,
elder,ahgao,lior,FALSE,,,,,,,,,,
Premna,aloalo,FALSE,elder,,,,,,,,,,
obtusifolia,topwuk,elder,Premna,,,,,,,,,,
syn,fienkack,Premna,obtusifolia,,,,,,,,,,
Premna,arr,obtusifolia,syn,,,,,,,,,,
serratifolia,nior,syn,Premna,,,,,,,,,,
ahu,lior,Premna,serratifolia,,,,,,,,,,
awa,FALSE,serratifolia,ahu,,,,,,,,,,
marsh,elder,ahu,awa,,,,,,,,,,
cypress,Premna,awa,marsh,,,,,,,,,,
Cyperus,obtusifolia,marsh,cypress,,,,,,,,,,
javanicus,syn,cypress,Cyperus,,,,,,,,,,
akia,Premna,Cyperus,javanicus,,,,,,,,,,
Wikstroemia,serratifolia,javanicus,akia,,,,,,,,,,
uvaursi,ahu,akia,Wikstroemia,,,,,,,,,,
aki,awa,Wikstroemia,uvaursi,,,,,,,,,,
aki,marsh,uvaursi,aki,,,,,,,,,,
totoput,cypress,aki,aki,,,,,,,,,,
Sporobolus,Cyperus,aki,totoput,,,,,,,,,,
virginicus,javanicus,totoput,Sporobolus,,,,,,,,,,
ala,akia,Sporobolus,virginicus,,,,,,,,,,
a,Wikstroemia,virginicus,ala,,,,,,,,,,
Pouteria,uvaursi,ala,a,,,,,,,,,,
sandwicensis,aki,a,Pouteria,,,,,,,,,,
alahe,aki,Pouteria,sandwicensis,,,,,,,,,,
e,totoput,sandwicensis,alahe,,,,,,,,,,
Canthium,Sporobolus,alahe,e,,,,,,,,,,
ordoratum,virginicus,e,Canthium,,,,,,,,,,
syn,ala,Canthium,ordoratum,,,,,,,,,,
Psydrax,a,ordoratum,syn,,,,,,,,,,
odorata,Pouteria,syn,Psydrax,,,,,,,,,,
alfalfa,sandwicensis,Psydrax,odorata,,,,,,,,,,
Medicago,alahe,odorata,alfalfa,,,,,,,,,,
sativa,e,alfalfa,Medicago,,,,,,,,,,
annual,Canthium,Medicago,sativa,,,,,,,,,,
ryegrass,ordoratum,sativa,annual,,,,,,,,,,
Lolium,syn,annual,ryegrass,,,,,,,,,,
multiflorum,Psydrax,ryegrass,Lolium,,,,,,,,,,
areca,odorata,Lolium,multiflorum,,,,,,,,,,
palm,alfalfa,multiflorum,areca,,,,,,,,,,
Chrysalidocarpus,Medicago,areca,palm,,,,,,,,,,
letuscens,sativa,palm,Chrysalidocarpus,,,,,,,,,,
Australian,annual,Chrysalidocarpus,letuscens,,,,,,,,,,
bushcherry,ryegrass,letuscens,Australian,,,,,,,,,,
Syzygium,Lolium,Australian,bushcherry,,,,,,,,,,
paniculatum,multiflorum,bushcherry,Syzygium,,,,,,,,,,
syn,areca,Syzygium,paniculatum,,,,,,,,,,
Eugenia,palm,paniculatum,syn,,,,,,,,,,
myrtifolia,Chrysalidocarpus,syn,Eugenia,,,,,,,,,,
Australian,letuscens,Eugenia,myrtifolia,,,,,,,,,,
saltbush,Australian,myrtifolia,Australian,,,,,,,,,,
Atriplex,bushcherry,Australian,saltbush,,,,,,,,,,
semibaccata,Syzygium,saltbush,Atriplex,,,,,,,,,,
avocado,paniculatum,Atriplex,semibaccata,,,,,,,,,,
Persea,syn,semibaccata,avocado,,,,,,,,,,
americana,Eugenia,avocado,Persea,,,,,,,,,,
awa,myrtifolia,Persea,americana,,,,,,,,,,
ava,Australian,americana,awa,,,,,,,,,,
kava,saltbush,awa,ava,,,,,,,,,,
sakau,Atriplex,ava,kava,,,,,,,,,,
Piper,semibaccata,kava,sakau,,,,,,,,,,
methysticum,avocado,sakau,Piper,,,,,,,,,,
aweoweo,Persea,Piper,methysticum,,,,,,,,,,
Chenopodium,americana,methysticum,aweoweo,,,,,,,,,,
oahuense,awa,aweoweo,Chenopodium,,,,,,,,,,
bamboo,ava,Chenopodium,oahuense,,,,,,,,,,
Bambusa,kava,oahuense,bamboo,,,,,,,,,,
sp,sakau,bamboo,Bambusa,,,,,,,,,,
barnyardgrass,Piper,Bambusa,sp,,,,,,,,,,
Echinochloa,methysticum,sp,barnyardgrass,,,,,,,,,,
crusgalli,aweoweo,barnyardgrass,Echinochloa,,,,,,,,,,
Baron,Chenopodium,Echinochloa,crusgalli,,,,,,,,,,
s,oahuense,crusgalli,Baron,,,,,,,,,,
grass,bamboo,Baron,s,,,,,,,,,,
paddlegrass,Bambusa,s,grass,,,,,,,,,,
reh,sp,grass,paddlegrass,,,,,,,,,,
padil,barnyardgrass,paddlegrass,reh,,,,,,,,,,
Ischaemum,Echinochloa,reh,padil,,,,,,,,,,
polystachyum,crusgalli,padil,Ischaemum,,,,,,,,,,
syn,Baron,Ischaemum,polystachyum,,,,,,,,,,
Ischaemum,s,polystachyum,syn,,,,,,,,,,
digitatum,grass,syn,Ischaemum,,,,,,,,,,
beach,paddlegrass,Ischaemum,digitatum,,,,,,,,,,
heliotrope,reh,digitatum,beach,,,,,,,,,,
hunig,padil,beach,heliotrope,,,,,,,,,,
Tournefortia,Ischaemum,heliotrope,hunig,,,,,,,,,,
argentea,polystachyum,hunig,Tournefortia,,,,,,,,,,
beefsteak,syn,Tournefortia,argentea,,,,,,,,,,
Acalypha,Ischaemum,argentea,beefsteak,,,,,,,,,,
wilkensiana,digitatum,beefsteak,Acalypha,,,,,,,,,,
big,beach,Acalypha,wilkensiana,,,,,,,,,,
trefoil,heliotrope,wilkensiana,big,,,,,,,,,,
Lotus,hunig,big,trefoil,,,,,,,,,,
pedunculatus,Tournefortia,trefoil,Lotus,,,,,,,,,,
blue,argentea,Lotus,pedunculatus,,,,,,,,,,
vitex,beefsteak,pedunculatus,blue,,,,,,,,,,
nanulega,Acalypha,blue,vitex,,,,,,,,,,
Vitex,wilkensiana,vitex,nanulega,,,,,,,,,,
trifolia,big,nanulega,Vitex,,,,,,,,,,
var,trefoil,Vitex,trifolia,,,,,,,,,,
variegata,Lotus,trifolia,var,,,,,,,,,,
Bougainvillea,pedunculatus,var,variegata,,,,,,,,,,
felila,blue,variegata,Bougainvillea,,,,,,,,,,
Bougainvillea,vitex,Bougainvillea,felila,,,,,,,,,,
spectabilis,nanulega,felila,Bougainvillea,,,,,,,,,,
breadfruit,Vitex,Bougainvillea,spectabilis,,,,,,,,,,
ulu,trifolia,spectabilis,breadfruit,,,,,,,,,,
lemai,var,breadfruit,ulu,,,,,,,,,,
Artocarpus,variegata,ulu,lemai,,,,,,,,,,
altilis,Bougainvillea,lemai,Artocarpus,,,,,,,,,,
bristly,felila,Artocarpus,altilis,,,,,,,,,,
foxtail,Bougainvillea,altilis,bristly,,,,,,,,,,
Setaria,spectabilis,bristly,foxtail,,,,,,,,,,
verticillata,breadfruit,foxtail,Setaria,,,,,,,,,,
broadleaf,ulu,Setaria,verticillata,,,,,,,,,,
carpetgrass,lemai,verticillata,broadleaf,,,,,,,,,,
Axonopus,Artocarpus,broadleaf,carpetgrass,,,,,,,,,,
compressus,altilis,carpetgrass,Axonopus,,,,,,,,,,
bromegrass,bristly,Axonopus,compressus,,,,,,,,,,
Bromus,foxtail,compressus,bromegrass,,,,,,,,,,
inermis,Setaria,bromegrass,Bromus,,,,,,,,,,
bromegrass,verticillata,Bromus,inermis,,,,,,,,,,
Bromus,broadleaf,inermis,bromegrass,,,,,,,,,,
wildenowii,carpetgrass,bromegrass,Bromus,,,,,,,,,,
brushbox,Axonopus,Bromus,wildenowii,,,,,,,,,,
Lophostemon,compressus,wildenowii,brushbox,,,,,,,,,,
confertus,bromegrass,brushbox,Lophostemon,,,,,,,,,,
syn,Bromus,Lophostemon,confertus,,,,,,,,,,
Tristania,inermis,confertus,syn,,,,,,,,,,
conferta,bromegrass,syn,Tristania,,,,,,,,,,
buckwheat,Bromus,Tristania,conferta,,,,,,,,,,
Fagopyrum,wildenowii,conferta,buckwheat,,,,,,,,,,
esculentum,brushbox,buckwheat,Fagopyrum,,,,,,,,,,
buffelgrass,Lophostemon,Fagopyrum,esculentum,,,,,,,,,,
Cenchrus,confertus,esculentum,buffelgrass,,,,,,,,,,
ciliaris,syn,buffelgrass,Cenchrus,,,,,,,,,,
syn,Tristania,Cenchrus,ciliaris,,,,,,,,,,
Pennisetum,conferta,ciliaris,syn,,,,,,,,,,
ciliare,buckwheat,syn,Pennisetum,,,,,,,,,,
cadaga,Fagopyrum,Pennisetum,ciliare,,,,,,,,,,
Eucalyptus,esculentum,ciliare,cadaga,,,,,,,,,,
torreliana,buffelgrass,cadaga,Eucalyptus,,,,,,,,,,
California,Cenchrus,Eucalyptus,torreliana,,,,,,,,,,
cypress,ciliaris,torreliana,California,,,,,,,,,,
Cupressus,syn,California,cypress,,,,,,,,,,
macrocarpa,Pennisetum,cypress,Cupressus,,,,,,,,,,
callitris,ciliare,Cupressus,macrocarpa,,,,,,,,,,
Callitris,cadaga,macrocarpa,callitris,,,,,,,,,,
sp,Eucalyptus,callitris,Callitris,,,,,,,,,,
cape,torreliana,Callitris,sp,,,,,,,,,,
marigold,California,sp,cape,,,,,,,,,,
Dimorphotheca,cypress,cape,marigold,,,,,,,,,,
sinuata,Cupressus,marigold,Dimorphotheca,,,,,,,,,,
carpet,macrocarpa,Dimorphotheca,sinuata,,,,,,,,,,
bugle,callitris,sinuata,carpet,,,,,,,,,,
Ajuga,Callitris,carpet,bugle,,,,,,,,,,
reptans,sp,bugle,Ajuga,,,,,,,,,,
centipedegrass,cape,Ajuga,reptans,,,,,,,,,,
Eremochloa,marigold,reptans,centipedegrass,,,,,,,,,,
ophiuroides,Dimorphotheca,centipedegrass,Eremochloa,,,,,,,,,,
cereal,sinuata,Eremochloa,ophiuroides,,,,,,,,,,
rye,carpet,ophiuroides,cereal,,,,,,,,,,
Secale,bugle,cereal,rye,,,,,,,,,,
cereale,Ajuga,rye,Secale,,,,,,,,,,
Chinese,reptans,Secale,cereale,,,,,,,,,,
fir,centipedegrass,cereale,Chinese,,,,,,,,,,
Cunninghamia,Eremochloa,Chinese,fir,,,,,,,,,,
lanceolata,ophiuroides,fir,Cunninghamia,,,,,,,,,,
coconut,cereal,Cunninghamia,lanceolata,,,,,,,,,,
niu,rye,lanceolata,coconut,,,,,,,,,,
lius,Secale,coconut,niu,,,,,,,,,,
iru,cereale,niu,lius,,,,,,,,,,
lu,Chinese,lius,iru,,,,,,,,,,
ni,fir,iru,lu,,,,,,,,,,
niyog,Cunninghamia,lu,ni,,,,,,,,,,
nizok,lanceolata,ni,niyog,,,,,,,,,,
nu,coconut,niyog,nizok,,,,,,,,,,
Cocos,niu,nizok,nu,,,,,,,,,,
nucifera,lius,nu,Cocos,,,,,,,,,,
colpachi,iru,Cocos,nucifera,,,,,,,,,,
croton,lu,nucifera,colpachi,,,,,,,,,,
Croton,ni,colpachi,croton,,,,,,,,,,
reflexifolius,niyog,croton,Croton,,,,,,,,,,
common,nizok,Croton,reflexifolius,,,,,,,,,,
Bermudagrass,nu,reflexifolius,common,,,,,,,,,,
Cynodon,Cocos,common,Bermudagrass,,,,,,,,,,
dactylon,nucifera,Bermudagrass,Cynodon,,,,,,,,,,
Cook,colpachi,Cynodon,dactylon,,,,,,,,,,
pine,croton,dactylon,Cook,,,,,,,,,,
Araucaria,Croton,Cook,pine,,,,,,,,,,
columnaris,reflexifolius,pine,Araucaria,,,,,,,,,,
corn,common,Araucaria,columnaris,,,,,,,,,,
Zea,Bermudagrass,columnaris,corn,,,,,,,,,,
mays,Cynodon,corn,Zea,,,,,,,,,,
cowpea,dactylon,Zea,mays,,,,,,,,,,
Vigna,Cook,mays,cowpea,,,,,,,,,,
unguiculata,pine,cowpea,Vigna,,,,,,,,,,
croton,Araucaria,Vigna,unguiculata,,,,,,,,,,
Codium,columnaris,unguiculata,croton,,,,,,,,,,
variegatum,corn,croton,Codium,,,,,,,,,,
day,Zea,Codium,variegatum,,,,,,,,,,
lily,mays,variegatum,day,,,,,,,,,,
Hemerocallis,cowpea,day,lily,,,,,,,,,,
aurantiaca,Vigna,lily,Hemerocallis,,,,,,,,,,
dichondra,unguiculata,Hemerocallis,aurantiaca,,,,,,,,,,
Dichondra,croton,aurantiaca,dichondra,,,,,,,,,,
repens,Codium,dichondra,Dichondra,,,,,,,,,,
digitgrass,variegatum,Dichondra,repens,,,,,,,,,,
Digitaria,day,repens,digitgrass,,,,,,,,,,
eriantha,lily,digitgrass,Digitaria,,,,,,,,,,
cv,Hemerocallis,Digitaria,eriantha,,,,,,,,,,
Pangola,aurantiaca,eriantha,cv,,,,,,,,,,
digitgrass,dichondra,cv,Pangola,,,,,,,,,,
Digitaria,Dichondra,Pangola,digitgrass,,,,,,,,,,
eriantha,repens,digitgrass,Digitaria,,,,,,,,,,
cv,digitgrass,Digitaria,eriantha,,,,,,,,,,
Transvala,Digitaria,eriantha,cv,,,,,,,,,,
dracaena,eriantha,cv,Transvala,,,,,,,,,,
Dracaena,cv,Transvala,dracaena,,,,,,,,,,
fragans,Pangola,dracaena,Dracaena,,,,,,,,,,
Dunn,digitgrass,Dracaena,fragans,,,,,,,,,,
s,Digitaria,fragans,Dunn,,,,,,,,,,
eucalyptus,eriantha,Dunn,s,,,,,,,,,,
Eucalyptus,cv,s,eucalyptus,,,,,,,,,,
dunnii,Transvala,eucalyptus,Eucalyptus,,,,,,,,,,
dwarf,dracaena,Eucalyptus,dunnii,,,,,,,,,,
brassaia,Dracaena,dunnii,dwarf,,,,,,,,,,
Schfflera,fragans,dwarf,brassaia,,,,,,,,,,
arboricola,Dunn,brassaia,Schfflera,,,,,,,,,,
dwarf,s,Schfflera,arboricola,,,,,,,,,,
Brazilian,eucalyptus,arboricola,dwarf,,,,,,,,,,
banana,Eucalyptus,dwarf,Brazilian,,,,,,,,,,
Musa,dunnii,Brazilian,banana,,,,,,,,,,
sp,dwarf,banana,Musa,,,,,,,,,,
cv,brassaia,Musa,sp,,,,,,,,,,
Santa,Schfflera,sp,cv,,,,,,,,,,
Catarina,arboricola,cv,Santa,,,,,,,,,,
Prata,dwarf,Santa,Catarina,,,,,,,,,,
dwarf,Brazilian,Catarina,Prata,,,,,,,,,,
coconut,banana,Prata,dwarf,,,,,,,,,,
niu,Musa,dwarf,coconut,,,,,,,,,,
lius,sp,coconut,niu,,,,,,,,,,
iru,cv,niu,lius,,,,,,,,,,
lu,Santa,lius,iru,,,,,,,,,,
ni,Catarina,iru,lu,,,,,,,,,,
niyog,Prata,lu,ni,,,,,,,,,,
nizok,dwarf,ni,niyog,,,,,,,,,,
nu,coconut,niyog,nizok,,,,,,,,,,
Cocos,niu,nizok,nu,,,,,,,,,,
nucifera,lius,nu,Cocos,,,,,,,,,,
emoloa,iru,Cocos,nucifera,,,,,,,,,,
kawelu,lu,nucifera,emoloa,,,,,,,,,,
lovegrass,ni,emoloa,kawelu,,,,,,,,,,
Eragrostis,niyog,kawelu,lovegrass,,,,,,,,,,
variabilis,nizok,lovegrass,Eragrostis,,,,,,,,,,
FALSE,nu,Eragrostis,variabilis,,,,,,,,,,
kamani,Cocos,variabilis,FALSE,,,,,,,,,,
talie,nucifera,FALSE,kamani,,,,,,,,,,
talisai,emoloa,kamani,talie,,,,,,,,,,
miich,kawelu,talie,talisai,,,,,,,,,,
tropical,lovegrass,talisai,miich,,,,,,,,,,
almond,Eragrostis,miich,tropical,,,,,,,,,,
Terminalia,variabilis,tropical,almond,,,,,,,,,,
catappa,FALSE,almond,Terminalia,,,,,,,,,,
ferntree,kamani,Terminalia,catappa,,,,,,,,,,
Filicium,talie,catappa,ferntree,,,,,,,,,,
decipiens,talisai,ferntree,Filicium,,,,,,,,,,
fishtail,miich,Filicium,decipiens,,,,,,,,,,
palm,tropical,decipiens,fishtail,,,,,,,,,,
Caryota,almond,fishtail,palm,,,,,,,,,,
mitis,Terminalia,palm,Caryota,,,,,,,,,,
forage,catappa,Caryota,mitis,,,,,,,,,,
peanut,ferntree,mitis,forage,,,,,,,,,,
Arachis,Filicium,forage,peanut,,,,,,,,,,
glabrata,decipiens,peanut,Arachis,,,,,,,,,,
forage,fishtail,Arachis,glabrata,,,,,,,,,,
peanut,palm,glabrata,forage,,,,,,,,,,
Arachis,Caryota,forage,peanut,,,,,,,,,,
pintoi,mitis,peanut,Arachis,,,,,,,,,,
cv,forage,Arachis,pintoi,,,,,,,,,,
Amarillo,peanut,pintoi,cv,,,,,,,,,,
forage,Arachis,cv,Amarillo,,,,,,,,,,
sorghum,glabrata,Amarillo,forage,,,,,,,,,,
hybrid,forage,forage,sorghum,,,,,,,,,,
Sorghum,peanut,sorghum,hybrid,,,,,,,,,,
bicolor,Arachis,hybrid,Sorghum,,,,,,,,,,
giant,pintoi,Sorghum,bicolor,,,,,,,,,,
Bermudagrass,cv,bicolor,giant,,,,,,,,,,
Cynodon,Amarillo,giant,Bermudagrass,,,,,,,,,,
dactylon,forage,Bermudagrass,Cynodon,,,,,,,,,,
gliricidia,sorghum,Cynodon,dactylon,,,,,,,,,,
madre,hybrid,dactylon,gliricidia,,,,,,,,,,
de,Sorghum,gliricidia,madre,,,,,,,,,,
cacao,bicolor,madre,de,,,,,,,,,,
Gliricidia,giant,de,cacao,,,,,,,,,,
sepium,Bermudagrass,cacao,Gliricidia,,,,,,,,,,
green,Cynodon,Gliricidia,sepium,,,,,,,,,,
panicgrass,dactylon,sepium,green,,,,,,,,,,
Urochloa,gliricidia,green,panicgrass,,,,,,,,,,
maxima,madre,panicgrass,Urochloa,,,,,,,,,,
syn,de,Urochloa,maxima,,,,,,,,,,
Panicum,cacao,maxima,syn,,,,,,,,,,
maximum,Gliricidia,syn,Panicum,,,,,,,,,,
var,sepium,Panicum,maximum,,,,,,,,,,
trichoglume,green,maximum,var,,,,,,,,,,
guineagrass,panicgrass,var,trichoglume,,,,,,,,,,
Urochloa,Urochloa,trichoglume,guineagrass,,,,,,,,,,
maxima,maxima,guineagrass,Urochloa,,,,,,,,,,
syn,syn,Urochloa,maxima,,,,,,,,,,
Panicum,Panicum,maxima,syn,,,,,,,,,,
maximum,maximum,syn,Panicum,,,,,,,,,,
hala,var,Panicum,maximum,,,,,,,,,,
ongor,trichoglume,maximum,hala,,,,,,,,,,
fasa,guineagrass,hala,ongor,,,,,,,,,,
Pandanus,Urochloa,ongor,fasa,,,,,,,,,,
tectorius,maxima,fasa,Pandanus,,,,,,,,,,
hapu,syn,Pandanus,tectorius,,,,,,,,,,
u,Panicum,tectorius,hapu,,,,,,,,,,
tree,maximum,hapu,u,,,,,,,,,,
fern,hala,u,tree,,,,,,,,,,
Cibotium,ongor,tree,fern,,,,,,,,,,
menziesii,fasa,fern,Cibotium,,,,,,,,,,
heen,Pandanus,Cibotium,menziesii,,,,,,,,,,
naran,tectorius,menziesii,heen,,,,,,,,,,
seedy,hapu,heen,naran,,,,,,,,,,
tangerine,u,naran,seedy,,,,,,,,,,
Citrus,tree,seedy,tangerine,,,,,,,,,,
lycopersicaeformis,fern,tangerine,Citrus,,,,,,,,,,
hetero,Cibotium,Citrus,lycopersicaeformis,,,,,,,,,,
Desmodium,menziesii,lycopersicaeformis,hetero,,,,,,,,,,
heterophyllum,heen,hetero,Desmodium,,,,,,,,,,
hibiscus,naran,Desmodium,heterophyllum,,,,,,,,,,
Chinese,seedy,heterophyllum,hibiscus,,,,,,,,,,
aute,tangerine,hibiscus,Chinese,,,,,,,,,,
flores,Citrus,Chinese,aute,,,,,,,,,,
rosa,lycopersicaeformis,aute,flores,,,,,,,,,,
Hibicus,hetero,flores,rosa,,,,,,,,,,
rosasinensis,Desmodium,rosa,Hibicus,,,,,,,,,,
Ifit,heterophyllum,Hibicus,rosasinensis,,,,,,,,,,
ifil,hibiscus,rosasinensis,Ifit,,,,,,,,,,
ipil,Chinese,Ifit,ifil,,,,,,,,,,
ifilele,aute,ifil,ipil,,,,,,,,,,
dort,flores,ipil,ifilele,,,,,,,,,,
choyo,rosa,ifilele,dort,,,,,,,,,,
kubok,Hibicus,dort,choyo,,,,,,,,,,
kuren,rosasinensis,choyo,kubok,,,,,,,,,,
Intsia,Ifit,kubok,kuren,,,,,,,,,,
bijuga,ifil,kuren,Intsia,,,,,,,,,,
ilima,ipil,Intsia,bijuga,,,,,,,,,,
Sida,ifilele,bijuga,ilima,,,,,,,,,,
fallax,dort,ilima,Sida,,,,,,,,,,
ilima,choyo,Sida,fallax,,,,,,,,,,
papa,kubok,fallax,ilima,,,,,,,,,,
Sida,kuren,ilima,papa,,,,,,,,,,
fallax,Intsia,papa,Sida,,,,,,,,,,
intortum,bijuga,Sida,fallax,,,,,,,,,,
desmodium,ilima,fallax,intortum,,,,,,,,,,
Desmodium,Sida,intortum,desmodium,,,,,,,,,,
intortum,fallax,desmodium,Desmodium,,,,,,,,,,
or,ilima,Desmodium,intortum,,,,,,,,,,
Desmodium,papa,intortum,or,,,,,,,,,,
aparines,Sida,or,Desmodium,,,,,,,,,,
ironwood,fallax,Desmodium,aparines,,,,,,,,,,
toa,intortum,aparines,ironwood,,,,,,,,,,
gagu,desmodium,ironwood,toa,,,,,,,,,,
laash,Desmodium,toa,gagu,,,,,,,,,,
ngas,intortum,gagu,laash,,,,,,,,,,
mejinoki,or,laash,ngas,,,,,,,,,,
weeku,Desmodium,ngas,mejinoki,,,,,,,,,,
Casuarina,aparines,mejinoki,weeku,,,,,,,,,,
equisetifolia,ironwood,weeku,Casuarina,,,,,,,,,,
Italian,toa,Casuarina,equisetifolia,,,,,,,,,,
cypress,gagu,equisetifolia,Italian,,,,,,,,,,
Cupressus,laash,Italian,cypress,,,,,,,,,,
sempervirons,ngas,cypress,Cupressus,,,,,,,,,,
jackfruit,mejinoki,Cupressus,sempervirons,,,,,,,,,,
Artocarpus,weeku,sempervirons,jackfruit,,,,,,,,,,
hetrophyllum,Casuarina,jackfruit,Artocarpus,,,,,,,,,,
Japanese,equisetifolia,Artocarpus,hetrophyllum,,,,,,,,,,
sugi,Italian,hetrophyllum,Japanese,,,,,,,,,,
pine,cypress,Japanese,sugi,,,,,,,,,,
Cryptomaria,Cupressus,sugi,pine,,,,,,,,,,
japonica,sempervirons,pine,Cryptomaria,,,,,,,,,,
jobs,jackfruit,Cryptomaria,japonica,,,,,,,,,,
tears,Artocarpus,japonica,jobs,,,,,,,,,,
Coix,hetrophyllum,jobs,tears,,,,,,,,,,
lachryma,Japanese,tears,Coix,,,,,,,,,,
jungle,sugi,Coix,lachryma,,,,,,,,,,
rice,pine,lachryma,jungle,,,,,,,,,,
Echinochloa,Cryptomaria,jungle,rice,,,,,,,,,,
colona,japonica,rice,Echinochloa,,,,,,,,,,
kamani,jobs,Echinochloa,colona,,,,,,,,,,
daok,tears,colona,kamani,,,,,,,,,,
fetau,Coix,kamani,daok,,,,,,,,,,
btaches,lachryma,daok,fetau,,,,,,,,,,
biyuch,jungle,fetau,btaches,,,,,,,,,,
eet,rice,btaches,biyuch,,,,,,,,,,
isou,Echinochloa,biyuch,eet,,,,,,,,,,
lueg,colona,eet,isou,,,,,,,,,,
rakich,kamani,isou,lueg,,,,,,,,,,
Calophyllum,daok,lueg,rakich,,,,,,,,,,
inophyllum,fetau,rakich,Calophyllum,,,,,,,,,,
kamole,btaches,Calophyllum,inophyllum,,,,,,,,,,
smartweed,biyuch,inophyllum,kamole,,,,,,,,,,
Polygonum,eet,kamole,smartweed,,,,,,,,,,
minus,isou,smartweed,Polygonum,,,,,,,,,,
var,lueg,Polygonum,minus,,,,,,,,,,
procerum,rakich,minus,var,,,,,,,,,,
koa,Calophyllum,var,procerum,,,,,,,,,,
Acacia,inophyllum,procerum,koa,,,,,,,,,,
koa,kamole,koa,Acacia,,,,,,,,,,
koai,smartweed,Acacia,koa,,,,,,,,,,
a,Polygonum,koa,koai,,,,,,,,,,
Acacia,minus,koai,a,,,,,,,,,,
koaia,var,a,Acacia,,,,,,,,,,
kolomona,procerum,Acacia,koaia,,,,,,,,,,
Senna,koa,koaia,kolomona,,,,,,,,,,
guadichaudii,Acacia,kolomona,Senna,,,,,,,,,,
kou,koa,Senna,guadichaudii,,,,,,,,,,
niyoron,koai,guadichaudii,kou,,,,,,,,,,
tauanave,a,kou,niyoron,,,,,,,,,,
galu,Acacia,niyoron,tauanave,,,,,,,,,,
koa,koaia,tauanave,galu,,,,,,,,,,
kalau,kolomona,galu,koa,,,,,,,,,,
ikoik,Senna,koa,kalau,,,,,,,,,,
ikoak,guadichaudii,kalau,ikoik,,,,,,,,,,
anau,kou,ikoik,ikoak,,,,,,,,,,
Cordia,niyoron,ikoak,anau,,,,,,,,,,
subcordata,tauanave,anau,Cordia,,,,,,,,,,
kukui,galu,Cordia,subcordata,,,,,,,,,,
lama,koa,subcordata,kukui,,,,,,,,,,
lumbang,kalau,kukui,lama,,,,,,,,,,
sakan,ikoik,lama,lumbang,,,,,,,,,,
raguar,ikoak,lumbang,sakan,,,,,,,,,,
candlenut,anau,sakan,raguar,,,,,,,,,,
tree,Cordia,raguar,candlenut,,,,,,,,,,
Aleurites,subcordata,candlenut,tree,,,,,,,,,,
moluccana,kukui,tree,Aleurites,,,,,,,,,,
lablab,lama,Aleurites,moluccana,,,,,,,,,,
Lablab,lumbang,moluccana,lablab,,,,,,,,,,
purpureus,sakan,lablab,Lablab,,,,,,,,,,
lemongrass,raguar,Lablab,purpureus,,,,,,,,,,
Cymbopogon,candlenut,purpureus,lemongrass,,,,,,,,,,
citratus,tree,lemongrass,Cymbopogon,,,,,,,,,,
limpograss,Aleurites,Cymbopogon,citratus,,,,,,,,,,
Hemarthria,moluccana,citratus,limpograss,,,,,,,,,,
altissima,lablab,limpograss,Hemarthria,,,,,,,,,,
cv,Lablab,Hemarthria,altissima,,,,,,,,,,
Bigalta,purpureus,altissima,cv,,,,,,,,,,
lippia,lemongrass,cv,Bigalta,,,,,,,,,,
Lippia,Cymbopogon,Bigalta,lippia,,,,,,,,,,
nodiflora,citratus,lippia,Lippia,,,,,,,,,,
loulu,limpograss,Lippia,nodiflora,,,,,,,,,,
palm,Hemarthria,nodiflora,loulu,,,,,,,,,,
Pritchardia,altissima,loulu,palm,,,,,,,,,,
sp,cv,palm,Pritchardia,,,,,,,,,,
ma,Bigalta,Pritchardia,sp,,,,,,,,,,
o,lippia,sp,ma,,,,,,,,,,
Hawaiian,Lippia,ma,o,,,,,,,,,,
cotton,nodiflora,o,Hawaiian,,,,,,,,,,
Gossypium,loulu,Hawaiian,cotton,,,,,,,,,,
tomentosum,palm,cotton,Gossypium,,,,,,,,,,
